data,estrangeiro,institucional,pessoa_fisica,inst_financeira,outros
09/09/2025,-279.85,406.39,-35.58,-170.38,79.42
08/09/2025,312.43,-399.44,205.50,-202.49,84.00
05/09/2025,-425.51,901.05,-362.23,-71.20,-42.11
04/09/2025,-463.67,819.57,-216.99,-154.96,16.05
03/09/2025,-470.69,188.19,298.18,-40.37,24.69
02/09/2025,-182.02,-8.03,94.48,57.21,38.37
01/09/2025,9.65,-155.31,59.57,54.09,31.99
29/08/2025,1466.42,-1317.49,-209.57,-16.24,76.88
28/08/2025,-279.17,1025.60,-780.82,55.21,-20.82
27/08/2025,-430.18,726.31,-313.74,67.73,-50.12
26/08/2025,299.04,-493.87,76.47,75.16,43.18
25/08/2025,94.61,-55.04,-8.16,23.01,-54.42
22/08/2025,965.87,-107.19,-865.40,34.74,-28.03
21/08/2025,-42.69,37.48,49.44,-99.73,55.49
20/08/2025,-558.15,355.02,3.00,195.45,4.68
19/08/2025,13.09,-724.86,518.75,475.42,-282.39
18/08/2025,-213.04,233.05,-147.16,61.41,65.74
15/08/2025,-536.89,-64.14,-283.91,846.05,38.89
14/08/2025,114.03,-149.18,95.18,-136.94,76.91
13/08/2025,1046.53,-1476.49,235.65,98.16,96.15
12/08/2025,724.43,-478.27,-291.78,-9.50,55.12
11/08/2025,642.79,-690.05,143.16,-207.07,111.16
08/08/2025,-468.12,364.25,245.38,-244.26,102.75
07/08/2025,-148.87,183.82,-184.76,100.83,48.97
06/08/2025,-811.71,966.75,-180.32,1.14,24.15
05/08/2025,-275.79,260.67,-23.88,10.90,28.09
04/08/2025,319.54,-506.85,82.51,78.47,26.33
01/08/2025,-753.45,630.09,478.89,-377.74,22.21
31/07/2025,-86.03,-523.00,387.34,141.51,80.19
30/07/2025,-306.54,11.88,-84.78,351.45,27.98
29/07/2025,-217.65,-27.31,-155.10,385.75,14.32
28/07/2025,-86.78,-76.15,11.52,164.56,-13.15
25/07/2025,-366.62,226.17,-28.85,143.30,26.00
24/07/2025,-483.16,76.49,260.51,123.33,22.82
23/07/2025,169.63,269.99,-458.63,-35.34,54.35
22/07/2025,335.53,-355.29,21.63,-25.40,23.53
21/07/2025,551.42,-328.30,-341.85,98.05,20.67
18/07/2025,-868.04,323.27,285.53,208.16,51.08
17/07/2025,-883.81,885.96,-46.17,15.65,28.35
16/07/2025,-662.05,632.68,50.58,-59.17,37.96
15/07/2025,-1074.34,672.35,207.30,148.93,45.75
14/07/2025,-904.94,769.60,209.62,257.04,-331.32
11/07/2025,-917.68,368.21,138.64,375.20,35.63
10/07/2025,-939.56,240.51,-160.71,728.33,131.44
09/07/2025,-654.69,-815.56,398.46,1544.59,-472.81
