CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,TIPO_DEMONSTRATIVO
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,6.05,Aumento (Redução) de Caixa e Equivalentes,2077690000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,6.05.01.02,Efeito taxa de câmbio no caixa e equivalentes de caixa,748000.0,N,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.01,Caixa Líquido Atividades Operacionais,1446903000.0,S,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.01,Caixa Líquido Atividades Operacionais,12385583000.0,S,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.01.01.05,Depreciação e amortização,365691000.0,N,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.01.01.05,Depreciação e amortização,3987775000.0,N,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.01.01.09,Baixas de imobilizado e intangível,157248000.0,N,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.01.01.11,Baixas de imobilizado e intangível,95193000.0,N,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.02,Caixa Líquido Atividades de Investimento,5851516000.0,S,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.02,Caixa Líquido Atividades de Investimento,-8660321000.0,S,con
