CNPJ,TICKER
24230275000180,PLPL3
60398369000479,PMAM3
92665611000177,PNVL3
88611835000129,POMO3
88611835000129,POMO4
33130691000105,PORT3
81243735000148,POSI3
59789545000171,PPAR3
14388334000199,PRBC4
10629105000168,PRIO3
02291077000193,PRMN3B
18593815000197,PRNR3
02992449000109,PRPT3
02149205000169,PSSA3
83475913000191,PTBL3
08574411000100,PTCA3
88613658000110,PTNT3
88613658000110,PTNT4
11992680000193,QUAL3
35791391000194,QUSW3
01851771000155,QVQP3
61585865000151,RADL3
02387241000160,RAIL3
33453598000123,RAIZ4
92791243000103,RANI3
89086144000116,RAPT3
89086144000116,RAPT4
59981829000165,RBNS
91333666000117,RCSL3
91333666000117,RCSL4
67010660000124,RDNI3
06047087000139,RDOR3
03342704000130,RECV3
61584140000149,REDE3
16670085000155,RENT3
16670085000155,RENT4
08402943000152,RIAA3
38199406000118,RIOS3
08534605000174,RNEW11
08534605000174,RNEW3
08534605000174,RNEW4
56720428000163,ROMI3
17167396000169,RPAD3
17167396000169,RPAD5
17167396000169,RPAD6
33412081000196,RPMG3
61065751000180,RSID3
85778074000106,RSUL3
85778074000106,RSUL4
52841191000118,RVEE3
17765891000170,SALT3
17765891000170,SALT4
90400888000142,SANB11
90400888000142,SANB3
90400888000142,SANB4
76484013000145,SAPR11
76484013000145,SAPR3
76484013000145,SAPR4
58119199000151,SAUD3
13217485000111,SBFG3
43776517000180,SBSP3
82981929000103,SC303
29780061000109,SCAR3
82981929000103,SCL04
04986320000113,SEER3
87043832000173,SEIVA
01599101000193,SEQL3
07718269000157,SGPS3
02860694000162,SHOW3
84693183000168,SHUL3
84693183000168,SHUL4
07415333000120,SIMH3
17159005000164,SJOS
89096457000155,SLCE3
60500139000126,SLED3
60500139000126,SLED4
07594978000178,SMFT3
51466860000156,SMTO3
14807945000124,SNSY3
14807945000124,SNSY5
14807945000124,SNSY6
10807374000177,SOJA3
10285590000108,SOMA3
33386210000119,SOND3
33386210000119,SOND5
33386210000119,SOND6
02338534000158,SPRT3B
42500384000151,SRNA3
02762121000104,STBP11
00622416000141,STKF3
02762121000104,STPB3
16404287000155,SUZB3
08801621000186,SYNE3
07859971000130,TAEE11
07859971000130,TAEE3
07859971000130,TAEE4
92781335000102,TASA3
92781335000102,TASA4
08065557000112,TCSA3
09295063000197,TECN3
30213493000109,TEGA
82636986000155,TEKA3
82636986000155,TEKA4
00336701000104,TELB3
00336701000104,TELB4
71476527000135,TEND3
59418806000147,TFCO4
02351144000118,TGMA3
02421421000111,TIMS3
33467572000134,TKNO3
33467572000134,TKNO4
31553627000101,TOKY12
31553627000101,TOKY3
53113791000122,TOTS3
03014553000191,TPIS3
26345998000150,TRAD3
08811643000127,TRIS3
82982075000180,TRXR3
94813102000170,TTEN3
84683374000149,TUPY3
82982075000180,TXRX4
90441460000148,UCAS3
33256439000139,UGPA3
33958695000178,UNIP3
33958695000178,UNIP5
33958695000178,UNIP6
02162616000194,UPKP3
60894730000105,USIM3
60894730000105,USIM5
60894730000105,USIM6
33592510000154,VALE3
23373000000132,VAMO3
34274233000102,VBBR3
45365558000109,VITT3
33839910000111,VIVA3
67571414000141,VIVR11
67571414000141,VIVR3
02558157000162,VIVT3
33113309000147,VLID3
00924429000175,VSPT3
00924429000175,VSPT4
49669856000143,VSTE3
20512706000140,VTRU3
50926955000142,VULC3
12420164000157,VVEO3
84429695000111,WEGE3
14776142000150,WEST3
59105999000186,WHRL3
59105999000186,WHRL4
42278473000103,WIZC3
33228024000151,WLMM3
33228024000151,WLMM4
02217319000107,YBRA3
02217319000107,YBRA4
08807432000110,YDUQ3
13574594000196,ZAMP3
