CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,TIPO_DEMONSTRATIVO
00.000.000/0001-91,2025-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,3.99,Lucro por Ação (R$/Ação),2400.0,N,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,3.01,Receitas de Intermediação Financeira,7207382000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,3.01,Receitas de Intermediação Financeira,8909356000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,3.02,Despesas de Intermediação Financeira,-4796837000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,3.02,Despesas de Intermediação Financeira,-5135613000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,3.03,Resultado Bruto de Intermediação Financeira,2410545000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,3.03,Resultado Bruto de Intermediação Financeira,3773743000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,3.04,Outras Despesas e Receitas Operacionais,-2249681000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,3.04,Outras Despesas e Receitas Operacionais,-3363743000.0,S,con
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,3.05,Resultado antes dos Tributos sobre o Lucro,160864000.0,S,ind
00.000.208/0001-00,2024-12-31,3,BRB BANCO DE BRASILIA S.A.,014206,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-12-01,2024-12-31,3.05,Resultado antes dos Tributos sobre o Lucro,410000000.0,S,con
