CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,TIPO_DEMONSTRATIVO
01.319.044/0001-41,2025-12-31,1,WTC AMAZONAS SUITE HOTEL S.A.,015741,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,6.01,Caixa Líquido Atividades Operacionais,-50000.0,S,ind
01.319.044/0001-41,2025-12-31,1,WTC AMAZONAS SUITE HOTEL S.A.,015741,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,6.02,Caixa Líquido Atividades de Investimento,0.0,S,ind
01.319.044/0001-41,2025-12-31,1,WTC AMAZONAS SUITE HOTEL S.A.,015741,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,6.03,Caixa Líquido Atividades de Financiamento,50000.0,S,ind
01.319.044/0001-41,2025-12-31,1,WTC AMAZONAS SUITE HOTEL S.A.,015741,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,S,ind
01.319.044/0001-41,2025-12-31,1,WTC AMAZONAS SUITE HOTEL S.A.,015741,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,6.05,Aumento (Redução) de Caixa e Equivalentes,0.0,S,ind
01.989.044/0001-59,2024-12-31,1,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,016551,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.01,Caixa Líquido Atividades Operacionais,-59000.0,S,ind
01.989.044/0001-59,2024-12-31,1,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,016551,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.02,Caixa Líquido Atividades de Investimento,0.0,S,ind
01.989.044/0001-59,2024-12-31,1,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,016551,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.03,Caixa Líquido Atividades de Financiamento,59000.0,S,ind
01.989.044/0001-59,2024-12-31,1,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,016551,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,S,ind
01.989.044/0001-59,2024-12-31,1,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,016551,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,6.05,Aumento (Redução) de Caixa e Equivalentes,0.0,S,ind
01.989.044/0001-59,2025-12-31,1,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,016551,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,6.01,Caixa Líquido Atividades Operacionais,-52000.0,S,ind
01.989.044/0001-59,2025-12-31,1,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,016551,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,6.02,Caixa Líquido Atividades de Investimento,0.0,S,ind
01.989.044/0001-59,2025-12-31,1,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,016551,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,6.03,Caixa Líquido Atividades de Financiamento,52000.0,S,ind
01.989.044/0001-59,2025-12-31,1,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,016551,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,S,ind
01.989.044/0001-59,2025-12-31,1,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,016551,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2025-01-01,2025-12-31,6.05,Aumento (Redução) de Caixa e Equivalentes,0.0,S,ind
02.201.787/0001-85,2024-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2024-01-01,2024-12-31,6.01,Caixa Líquido Atividades Operacionais,-11.0,S,ind
02.201.787/0001-85,2024-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2024-01-01,2024-12-31,6.01,Caixa Líquido Atividades Operacionais,7538.0,S,con
02.201.787/0001-85,2024-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2024-01-01,2024-12-31,6.02,Caixa Líquido Atividades de Investimento,0.0,S,ind
02.201.787/0001-85,2024-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2024-01-01,2024-12-31,6.02,Caixa Líquido Atividades de Investimento,0.0,S,con
02.201.787/0001-85,2024-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2024-01-01,2024-12-31,6.03,Caixa Líquido Atividades de Financiamento,0.0,S,con
02.201.787/0001-85,2024-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2024-01-01,2024-12-31,6.03,Caixa Líquido Atividades de Financiamento,0.0,S,ind
02.201.787/0001-85,2024-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2024-01-01,2024-12-31,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,S,ind
02.201.787/0001-85,2024-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2024-01-01,2024-12-31,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,S,con
02.201.787/0001-85,2024-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2024-01-01,2024-12-31,6.05,Aumento (Redução) de Caixa e Equivalentes,-11.0,S,ind
02.201.787/0001-85,2024-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2024-01-01,2024-12-31,6.05,Aumento (Redução) de Caixa e Equivalentes,7538.0,S,con
02.201.787/0001-85,2025-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2025-01-01,2025-12-31,6.01,Caixa Líquido Atividades Operacionais,303.0,S,ind
02.201.787/0001-85,2025-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2025-01-01,2025-12-31,6.01,Caixa Líquido Atividades Operacionais,446543.0,S,con
02.201.787/0001-85,2025-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2025-01-01,2025-12-31,6.02,Caixa Líquido Atividades de Investimento,0.0,S,ind
02.201.787/0001-85,2025-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2025-01-01,2025-12-31,6.02,Caixa Líquido Atividades de Investimento,0.0,S,con
02.201.787/0001-85,2025-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2025-01-01,2025-12-31,6.03,Caixa Líquido Atividades de Financiamento,0.0,S,ind
02.201.787/0001-85,2025-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2025-01-01,2025-12-31,6.03,Caixa Líquido Atividades de Financiamento,0.0,S,con
02.201.787/0001-85,2025-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2025-01-01,2025-12-31,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,S,con
02.201.787/0001-85,2025-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Individual - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2025-01-01,2025-12-31,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,S,ind
02.201.787/0001-85,2025-12-31,1,CEL PARTICIPAÇÕES S.A. - CELPAR,016675,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,UNIDADE,ÚLTIMO,2025-01-01,2025-12-31,6.05,Aumento (Redução) de Caixa e Equivalentes,446543.0,S,con
