CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,TIPO_DEMONSTRATIVO
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.04,Outros Ativos,35174051000.0,S,ind
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.04,Outros Ativos,55691337000.0,S,con
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.05,Investimentos,44945666000.0,S,ind
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.05,Investimentos,21263800000.0,S,con
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.06,Imobilizado,14771236000.0,S,ind
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.06,Imobilizado,17537441000.0,S,con
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.06.01,Imobilizado de Uso,26988062000.0,S,ind
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.06.01,Imobilizado de Uso,13198881000.0,S,con
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.06.01.01,Valor de Custo do Imobilizado de Uso,27002734000.0,N,ind
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.06.03,Depreciação Acumulada,-14774488000.0,S,ind
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.06.03,Depreciação Acumulada,0.0,S,con
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.07,Intangível,11787354000.0,S,ind
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.07,Intangível,11884229000.0,S,con
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.07.03,Amortização Acumulada,-9983946000.0,S,ind
00.000.000/0001-91,2025-09-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2025-09-30,1.07.03,Amortização Acumulada,0.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1,Ativo Total,2563995608000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1,Ativo Total,2610200817000.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.01,Caixa e Equivalentes de Caixa,61762734000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.01,Caixa e Equivalentes de Caixa,61693113000.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.02,Ativos Financeiros,2282890932000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.02,Ativos Financeiros,2342170996000.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.03,Tributos,100102907000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.03,Tributos,105406638000.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.04,Outros Ativos,45329809000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.04,Outros Ativos,48134179000.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.05,Investimentos,44738999000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.05,Investimentos,21811807000.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.06,Imobilizado,17523537000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.06,Imobilizado,19230212000.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.06.01,Imobilizado de Uso,28079489000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.06.01,Imobilizado de Uso,14507178000.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.06.01.01,Valor de Custo do Imobilizado de Uso,28102153000.0,N,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.06.03,Depreciação Acumulada,-15104232000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.06.03,Depreciação Acumulada,0.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.07,Intangível,11646690000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.07,Intangível,11753872000.0,S,con
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.07.03,Amortização Acumulada,-10896376000.0,S,ind
00.000.000/0001-91,2026-03-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-03-31,1.07.03,Amortização Acumulada,0.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1,Ativo Total,2588103740000.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1,Ativo Total,2541613882000.0,S,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.01,Caixa e Equivalentes de Caixa,65017849000.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.01,Caixa e Equivalentes de Caixa,66391347000.0,S,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.02,Ativos Financeiros,2319323678000.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.02,Ativos Financeiros,2259698284000.0,S,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.03,Tributos,111609476000.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.03,Tributos,106091494000.0,S,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.04,Outros Ativos,38969076000.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.04,Outros Ativos,36400526000.0,S,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.05,Investimentos,21699105000.0,S,con
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Individual - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.05,Investimentos,43136672000.0,S,ind
00.000.000/0001-91,2026-06-30,1,BCO BRASIL S.A.,001023,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,2026-06-30,1.06,Imobilizado,19218424000.0,S,con
